BASE_YR,BASE_MM,AGFD_PDLT_NM,PDTN_QY
2020,03,적양배추,876
2020,03,쪽파,127671
2020,03,찰옥수수,40765
2020,03,참나물,7147
2020,03,참다래 국산,106539
2020,03,참외,95266
2020,03,청경채,7446
2020,03,청양고추,29548
2020,03,체리,3028
2020,03,취나물,4023
2020,03,츄키니,1620
2020,03,케일,73
2020,03,콜라비,6712
2020,03,콩나물,634091
2020,03,키위,12255
2020,03,토마토,1484940
2020,03,토마토(방울),650892
2020,03,파세리,40471
2020,03,파인애플,114848
2020,03,파채,50022
2020,03,파프리카,92189
2020,03,포도,821766
2020,03,풋고추,115031
2020,03,풋옥수수,19330
2020,03,호박,616489
2020,03,홍갓,37161
2020,04,가지,723608
2020,04,감,252463
2020,04,감귤,372266
2020,04,감자,1066337
2020,04,갓,6492
2020,04,건가지,1036
2020,04,건고추,488
2020,04,건취나물,1569
2020,04,고구마,1510140
2020,04,고구마순,1976
2020,04,고사리,8821
2020,04,고추,729580
2020,04,곶감,8749
2020,04,근대,108975
2020,04,기장,4095
2020,04,깐마늘,326556
2020,04,깐양파,130237
2020,04,깻잎,65987
2020,04,냉이,8142
2020,04,늙은호박,97356
2020,04,다발무,96000
2020,04,단감,254335
2020,04,단호박,34155
2020,04,달래,11005
2020,04,당근,985048
2020,04,대추,47539
2020,04,대파,1063462
2020,04,더덕,4056
2020,04,도라지,17393
2020,04,돈나물,5190
2020,04,돌나물,4970
2020,04,두릅,17198
2020,04,따리,7505
2020,04,딸기,502779
2020,04,레몬,15171
2020,04,마,10106
2020,04,마늘,637745
2020,04,마늘 쫑,14474
2020,04,매실,7631
2020,04,머위,407
2020,04,메론,1077902
2020,04,모둠쌈,76620
2020,04,무,1555638
2020,04,무화과,14233
2020,04,물미역(청과),6896
2020,04,미나리,27474
2020,04,바나나,157212
2020,04,바나나 국산,2060
2020,04,밤,194912
2020,04,방울,10968
2020,04,방울양배추,872
2020,04,배,632463
2020,04,배추,782433
2020,04,배추얼갈이,63265
2020,04,버섯,1806965
2020,04,보리,4680
2020,04,복수박,49999
2020,04,복숭아,372126
2020,04,부추,105133
2020,04,브로코리,141312
2020,04,브로콜리,63277
2020,04,블루베리,315702
2020,04,비트,272811
2020,04,빨간양배추,26159
2020,04,사과,4478816
2020,04,산딸기,16347
2020,04,살구,660
2020,04,상추,209501
2020,04,새싹채소,1158
2020,04,생강,18516
2020,04,석류,15171
2020,04,세러리,2069
2020,04,수박,3662690
2020,04,수입과일,1020616
2020,04,숙주,65651
2020,04,시금치,534817
2020,04,신선초,2069
2020,04,쌈추,11248
2020,04,쑥,66900
2020,04,쑥갓,4662
2020,04,아욱,479
2020,04,애플수박,5456
2020,04,애호박,417608
2020,04,양배추,1910445
2020,04,양상추,429734
2020,04,양파,3478576
2020,04,얼갈이,6570
2020,04,연근,7960
2020,04,열무,71012
2020,04,열무 얼갈이,81096
2020,04,오렌지,15171
2020,04,오이,1131169
2020,04,완두콩,30895
2020,04,인삼,6383
2020,04,잎마늘,1339
2020,04,자두,158336
2020,04,자몽,15171
2020,04,적양배추,654
2020,04,쪽파,129455
2020,04,찰옥수수,98773
2020,04,참나물,5628
2020,04,참다래 국산,66466
2020,04,참외,180544
2020,04,청경채,6918
2020,04,청양고추,38388
2020,04,체리,7965
2020,04,취나물,15140
2020,04,츄키니,4908
2020,04,케일,3554
2020,04,콜라비,3202
2020,04,콩나물,857152
2020,04,키위,56185
2020,04,토마토,2053114
2020,04,토마토(방울),848946
2020,04,파세리,39052
2020,04,파인애플,174681
2020,04,파채,61960
2020,04,파프리카,82813
2020,04,포도,854971
2020,04,풋고추,150811
2020,04,풋옥수수,20830
2020,04,호박,747292
2020,04,홍갓,47668
2020,05,가지,742808
2020,05,감,91059
2020,05,감귤,246290
2020,05,감자,882706
2020,05,갓,5859
2020,05,건가지,984
2020,05,건취나물,1593
2020,05,고구마,1643900
2020,05,고구마순,1593
2020,05,고사리,8481
2020,05,고추,752936
2020,05,곶감,12885
2020,05,근대,88208
2020,05,깐마늘,323770
2020,05,깐양파,125716
2020,05,깻잎,61296
2020,05,냉이,7627
2020,05,늙은호박,173719
2020,05,단감,184458
2020,05,단호박,13860
2020,05,달래,10547
2020,05,당근,891008
2020,05,대추,72687
2020,05,대파,1056275
2020,05,더덕,2574
2020,05,도라지,14804
2020,05,돈나물,4017
2020,05,돌나물,5354
2020,05,두릅,16035
2020,05,딸기,383357
2020,05,레몬,13216
2020,05,마,5377
2020,05,마늘,783915
2020,05,마늘 쫑,4664
2020,05,매실,2959
2020,05,메론,1027120
2020,05,모둠쌈,79042
2020,05,무,1455115
2020,05,무화과,32136
2020,05,물미역(청과),5894
2020,05,미나리,23615
2020,05,바나나,165644
2020,05,바나나 국산,528
2020,05,밤,136992
2020,05,방울,35977
2020,05,배,544540
2020,05,배추,765743
2020,05,배추얼갈이,74628
2020,05,버섯,1610231
2020,05,복수박,128692
2020,05,복숭아,300545
2020,05,부추,97687
2020,05,브로코리,166992
2020,05,브로콜리,14298
2020,05,블루베리,1039732
2020,05,비트,215429
2020,05,빨간양배추,23500
2020,05,사과,3192985
2020,05,산딸기,9288
2020,05,살구,80
2020,05,상추,218327
2020,05,새싹채소,794
2020,05,생강,17512
2020,05,석류,13216
2020,05,세러리,1584
2020,05,수박,7065665
2020,05,수입과일,1483984
2020,05,숙주,56835
2020,05,시금치,493742
2020,05,신선초,1584
2020,05,쌈추,10359
2020,05,쑥갓,16108
2020,05,아욱,468
2020,05,애플수박,6038
2020,05,애호박,503170
2020,05,양배추,1150988
2020,05,양상추,390348
2020,05,양파,3825340
2020,05,얼갈이,5127
2020,05,연근,3330
2020,05,열무,81627
2020,05,열무 얼갈이,85834
