"자치구 코드","자치구명","전통시장명","주소명","위도","경도"
"18","송파구","마천시장","마천동 140-2","37.4982611","127.1505378"
"18","송파구","마천중앙시장","마천동 134-14","37.4973838","127.1500097"
"13","마포구","마포농수산물시장","성산2동 533-1","37.5651346","126.8979262"
"13","마포구","마포시장","마포구 공덕동 256-30","37.5448107","126.9538425"
"21","용산구","만리시장","서계동 260-1","37.5512442","126.9635953"
"13","마포구","망원동월드컵시장","망원2동 423일대","37.5576651","126.9044815"
"13","마포구","망원시장","망원1동 411일대","37.5558465","126.905727"
"6","광진구","면곡골목시장","중곡동 566-3","37.5712615","127.0814846"
"25","중랑구","면목골목시장","면목동 352-9","37.5772659","127.0846012"
"25","중랑구","면목시장","면목동 650","37.5795862","127.0862927"
"24","중구","명동 지하도상가","남대문로2가 123","37.5634922","126.9816771"
"24","중구","명동역지하도쇼핑센터","중구 충무로2가 65-12","37.5610701","126.985591"
"2","강동구","명일골목시장","명일동 333-2 일대","37.5495042","127.1448791"
"14","서대문구","모래내시장","남가좌동 290-2","37.5705156","126.9158194"
"19","양천구","목2동시장","목2동 526","37.5459926","126.8739372"
"19","양천구","목3동시장","목3동 610-19","37.5482627","126.8668146"
"19","양천구","목4동시장","목4동 738-1","37.5379918","126.8666093"
"19","양천구","목동제일시장","목2동 503-1","37.5465699","126.8706528"
"18","송파구","문정동 로데오거리 상점가","문정동 41-5","37.4891396","127.1238717"
"5","관악구","미성동 도깨비시장","미성동 1563-85","37.4743126","126.915919"
"8","금천구","박미시장","시흥동 956","37.4401476","126.904676"
"17","성북구","밤나무골시장","하월곡동 76-8 일대","37.6083615","127.0358606"
"24","중구","방산시장","주교동 251-1","37.5674502","126.9997139"
"24","중구","방산종합시장","주교동 19-1","37.5686744","127.0007958"
"4","강서구","방신재래시장","강서구 방화동 567-23 ","37.5713735","126.8123273"
"18","송파구","방이시장","방이동 137-8","37.5103619","127.1175231"
"3","강북구","방천골목시장","미아4동 55번지 일대","37.6132484","127.0310988"
"10","도봉구","방학동도깨비시장","방학동 633번지 45","37.6657598","127.0352923"
"14","서대문구","백련시장","남가좌동 345-4","37.5769893","126.9230765"
"3","강북구","번동북부골목시장","번1동 411번지 일대","37.6356639","127.0309362"
"3","강북구","번동북부시장","번1동 413-3","37.6362704","127.0303436"
"17","성북구","번동시장","장위동 301","37.6212389","127.0479357"
"21","용산구","보광시장","보광동 260-8","37.5272004","127.0002583"
"17","성북구","보문골목시장","보문동1가204-20","37.5856076","127.0205047"
"12","동작구","본동인정시장","본동 187-1외 66필지","37.5121681","126.9518629"
"5","관악구","봉일시장","은천동 951-25","37.4855955","126.9384154"
"5","관악구","봉천신시장","청림동 10-5","37.4886564","126.9588306"
"5","관악구","봉천제일종합시장","청룡동 921-1","37.4812747","126.9444627"
"5","관악구","봉천중앙시장","중앙동 32-2","37.4838978","126.9541742"
"5","관악구","봉천현대시장","은천동 502-4","37.4866003","126.9465367"
"25","중랑구","사가정골목시장","면목동 472-45","37.5811138","127.0893651"
"12","동작구","사당시장","사당4동 318-8","37.4828421","126.9749806"
"20","영등포구","사러가시장","신길동254-1","37.5061266","126.9107652"
"20","영등포구","삼구시장","영등포동5가19","37.5203001","126.9058548"
"17","성북구","삼선골목시장","동소문동2가146","37.5882118","127.0084641"
"5","관악구","삼성동 시장(신림6동)","삼성동 808-1","37.4718967","126.9335865"
"24","중구","삼익패션타운","남창동 5","37.5601407","126.9789572"
"9","노원구","상계시장","상계동 95-3","37.6649354","127.0778111"
"9","노원구","상계중앙시장","상계동 389-641 외 49필지","37.6598167","127.0698702"
"18","송파구","새마을시장","잠실동 205-15","37.508909","127.083835"
"17","성북구","새석관시장","석관동 338-18","37.6081945","127.052649"
"13","마포구","서교시장","서교동 357-1","37.5534305","126.9216333"
"11","동대문구","서울약령시장","제기동 1126-5","37.5790133","127.0370317"
"24","중구","서울중앙시장","황학동 409","37.566763","127.0197725"
