BASE_YR,BASE_MM,AGFD_PDLT_NM,STRGE_QY
2020,05,잎마늘,256
2020,05,자두,38643
2020,05,자몽,3965
2020,05,쪽파,34637
2020,05,찰옥수수,30771
2020,05,참나물,1658
2020,05,참다래 국산,15812
2020,05,참외,51757
2020,05,청경채,2093
2020,05,청양고추,9323
2020,05,체리,2081
2020,05,취나물,1406
2020,05,츄키니,2278
2020,05,케일,475
2020,05,콜라비,723
2020,05,콩나물,85722
2020,05,토마토,618483
2020,05,토마토(방울),247604
2020,05,파세리,9942
2020,05,파인애플,55214
2020,05,파채,19142
2020,05,파프리카,33522
2020,05,포도,202628
2020,05,풋고추,42328
2020,05,풋옥수수,5136
2020,05,피망,653
2020,05,호박,198555
2020,05,홍갓,16910
2020,06,가지,241944
2020,06,감,30669
2020,06,감귤,179801
2020,06,감자,304500
2020,06,갓,1574
2020,06,건가지,291
2020,06,건고추,593
2020,06,건취나물,460
2020,06,고구마,557905
2020,06,고구마순,460
2020,06,고사리,2495
2020,06,고추,398916
2020,06,곶감,3233
2020,06,근대,28030
2020,06,기장,922
2020,06,기타잡곡류,2253
2020,06,깐마늘,86366
2020,06,깐양파,39836
2020,06,깻잎,26419
2020,06,냉이,2123
2020,06,늙은호박,13041
2020,06,다발무,28
2020,06,단감,51902
2020,06,단호박,3744
2020,06,달래,2900
2020,06,당근,301278
2020,06,대추,15551
2020,06,대파,375560
2020,06,더덕,941
2020,06,도라지,4586
2020,06,돈나물,1012
2020,06,돌나물,1533
2020,06,두릅,5522
2020,06,딸기,106600
2020,06,레몬,4037
2020,06,마,4955
2020,06,마늘,197031
2020,06,마늘 쫑,469
2020,06,매실,1189
2020,06,메론,409070
2020,06,모둠쌈,22766
2020,06,무,482034
2020,06,무화과,5797
2020,06,물미역(청과),1474
2020,06,미나리,11004
2020,06,바나나,58025
2020,06,바나나 국산,530
2020,06,밤,43796
2020,06,방울,5203
2020,06,배,317844
2020,06,배추,1202396
2020,06,배추얼갈이,22322
2020,06,버섯,472914
2020,06,보리,1054
2020,06,복수박,72340
2020,06,토마토,703436
2020,06,토마토(방울),324763
2020,06,파세리,9186
2020,06,파인애플,64472
2020,06,파채,19892
2020,06,파프리카,104318
2020,06,포도,241965
2020,06,풋고추,55349
2020,06,풋옥수수,9849
2020,06,피망,1356
2020,06,호박,220454
2020,06,홍갓,17139
2020,06,홍고추,1152
2020,07,가지,267285
2020,07,감,38150
2020,07,감귤,227440
2020,07,감자,458503
2020,07,갓,1325
2020,07,건가지,341
2020,07,건고추,9560
2020,07,건취나물,620
2020,07,고구마,446662
2020,07,고구마순,506
2020,07,고사리,2895
2020,07,고추,206586
2020,07,곶감,2705
2020,07,근대,29102
2020,07,기장,937
2020,07,기타잡곡류,3724
2020,07,깐마늘,64241
2020,07,깐양파,33527
2020,07,깻잎,30183
2020,07,냉이,2182
2020,07,늙은호박,23153
2020,07,단감,69454
2020,07,단호박,6459
2020,07,달래,3376
2020,07,당근,348356
2020,07,대추,24074
2020,07,대파,376305
2020,07,더덕,10980
2020,07,도라지,5247
2020,07,돈나물,1205
2020,07,돌나물,1562
2020,07,두릅,1948
2020,07,딸기,100058
2020,07,레몬,2457
2020,07,마,1764
2020,07,마늘,220891
2020,07,마늘 쫑,448
2020,07,매실,3345
2020,07,메론,372905
2020,07,모둠쌈,19654
2020,07,무,596839
2020,07,무화과,45960
2020,07,물미역(청과),741
2020,07,미나리,12004
2020,07,바나나,29320
2020,07,바나나 국산,594
2020,07,밤,52302
2020,07,방울,5706
2020,07,배,211177
2020,07,배추,367897
2020,07,배추얼갈이,38759
2020,07,버섯,542289
2020,07,보리,1070
2020,07,복수박,56792
2020,07,복숭아,197644
2020,07,부추,29770
2020,07,브로코리,84965
2020,07,브로콜리,25538
2020,07,블루베리,14436
2020,07,비트,97623
2020,07,빨간양배추,18628
2020,07,사과,710349
2020,07,산딸기,1256
2020,07,살구,11135
2020,07,상추,66420
2020,07,새싹채소,228
2020,07,생강,3873
2020,07,석류,2457
2020,07,세러리,198
2020,07,수박,2388657
2020,07,수입과일,334538
2020,07,숙주,18945
2020,07,시금치,154559
2020,07,신선초,198
2020,07,쌈채,3039
2020,07,쌈추,3502
2020,07,쑥갓,173
2020,07,아욱,137
2020,07,애플수박,1244
2020,07,애호박,155897
2020,07,양배추,514775
2020,07,양상추,109887
2020,07,양파,744536
2020,07,얼갈이,1160
2020,07,연근,1287
2020,07,열무,22970
2020,07,열무 얼갈이,27534
2020,07,오디 국산,9560
2020,07,오렌지,2457
2020,07,오이,307580
2020,07,옥수수,112620
2020,07,완두콩,41376
2020,07,인삼,1167
2020,07,잎마늘,194
2020,07,자두,116620
2020,07,자몽,2457
2020,07,쪽파,31729
2020,07,찰옥수수,134175
2020,07,참나물,11268
2020,07,참다래 국산,9094
2020,07,참외,57124
2020,07,청경채,5001
2020,07,청양고추,12773
2020,07,체리,1290
2020,07,취나물,11022
2020,07,츄키니,3660
2020,07,케일,198
2020,07,콜라비,989
2020,07,콩나물,108678
2020,07,토마토,636857
2020,07,토마토(방울),273281
2020,07,파세리,8947
2020,07,파인애플,32578
2020,07,파채,7400
2020,07,파프리카,92924
2020,07,포도,198846
2020,07,풋고추,71135
2020,07,풋옥수수,63710
2020,07,피망,1223
2020,07,호박,299383
2020,07,홍갓,16317
2020,07,홍고추,5422
2020,08,가지,255002
2020,08,감,19584
2020,08,감귤,244753
2020,08,감자,406984
2020,08,갓,1543
2020,08,건가지,328
2020,08,건고추,16680
2020,08,건취나물,1778
2020,08,고구마,471884
2020,08,고구마순,520
2020,08,고사리,2813
2020,08,고추,183861
2020,08,곶감,2142
2020,08,근대,29908
2020,08,기장,23
2020,08,기타잡곡류,582
2020,08,깐마늘,73847
2020,08,깐양파,32442
2020,08,깻잎,13230
2020,08,냉이,2781
2020,08,늙은호박,21548
2020,08,단감,49338
2020,08,단호박,14826
2020,08,달래,3772
2020,08,당근,273670
2020,08,대추,19376
2020,08,대파,731751
2020,08,더덕,10591
2020,08,도라지,5887
2020,08,돈나물,1099
2020,08,돌나물,2151
2020,08,두릅,1724
2020,08,딸기,66356
2020,08,레몬,1804
2020,08,마,670
2020,08,마늘,230150
2020,08,마늘 쫑,729
2020,08,매실,203
2020,08,메론,287406
2020,08,모둠쌈,18508
2020,08,무,549258
2020,08,무화과,51516
2020,08,물미역(청과),884
2020,08,미나리,7227
2020,08,바나나,25308
2020,08,바나나 국산,395
2020,08,밤,49295
2020,08,방울,8224
2020,08,방울양배추,144
2020,08,배,180740
2020,08,배추,460145
2020,08,배추얼갈이,42353
2020,08,버섯,547974
2020,08,보리,26
2020,08,복수박,12128
2020,08,복숭아,136775
2020,08,부추,26414
2020,08,브로코리,78938
2020,08,브로콜리,4326
2020,08,블루베리,1497
2020,06,복숭아,119555
2020,06,부추,24372
2020,06,브로코리,64142
2020,06,브로콜리,19870
2020,06,블루베리,26162
2020,06,비트,69971
2020,06,빨간양배추,8925
2020,06,사과,829345
2020,06,산딸기,2080
2020,06,살구,2228
2020,06,상추,74251
2020,06,새싹채소,221
2020,06,생강,3973
2020,06,석류,4037
2020,06,수박,3059807
2020,06,수입과일,269426
2020,06,숙주,16418
2020,06,시금치,141769
2020,06,쌈추,2855
2020,06,쑥갓,3520
2020,06,아욱,128
2020,06,애플수박,8334
2020,06,애호박,168200
2020,06,양배추,436174
2020,06,양상추,113695
2020,06,양파,923560
2020,06,얼갈이,1485
2020,06,연근,3456
2020,06,열무,24938
2020,06,열무 얼갈이,24577
2020,06,오디 국산,593
2020,06,오렌지,4037
2020,06,오이,346143
2020,06,옥수수,93614
2020,06,완두콩,18128
2020,06,인삼,1164
2020,06,잎마늘,458
2020,06,자두,49560
2020,06,자몽,4037
2020,06,쪽파,30940
2020,06,찰옥수수,638659
2020,06,참나물,2079
2020,06,참다래 국산,8080
2020,06,참외,72633
2020,06,청경채,4826
2020,06,청양고추,9270
2020,06,체리,2119
2020,06,취나물,992
2020,06,츄키니,4897
2020,06,케일,178
2020,06,콜라비,896
2020,06,콩나물,116420
2020,06,키위,1020
2020,08,비트,93354
2020,08,빨간양배추,15760
2020,08,사과,899210
2020,08,산딸기,1162
2020,08,살구,3949
2020,08,상추,81497
2020,08,새싹채소,294
2020,08,생강,3896
2020,08,석류,1804
2020,08,세러리,2611
2020,08,수박,1457403
2020,08,수입과일,265890
2020,08,숙주,22104
2020,08,시금치,140046
2020,08,신선초,2611
2020,08,쌈채,1784
2020,08,쌈추,3278
2020,08,쑥갓,275
2020,08,아욱,122
2020,08,애플수박,737
2020,08,애호박,136709
2020,08,양배추,426717
2020,08,양상추,100796
2020,08,양파,824153
2020,08,얼갈이,1350
2020,08,연근,347
2020,08,열무,20454
2020,08,열무 얼갈이,23115
2020,08,오디 국산,14241
2020,08,오렌지,1804
2020,08,오이,269682
2020,08,옥수수,58863
2020,08,완두콩,15930
2020,08,우엉,186
2020,08,인삼,886
2020,08,자두,64043
2020,08,자몽,1804
2020,08,적양배추,108
2020,08,쪽파,25141
2020,08,찰옥수수,39756
2020,08,참나물,16171
2020,08,참다래 국산,3653
2020,08,참외,25351
2020,08,청경채,3582
2020,08,청양고추,17339
2020,08,체리,947
2020,08,취나물,25360
2020,08,츄키니,3348
2020,08,케일,2611
2020,08,콜라비,1013
2020,08,콩나물,118366
2020,08,키위,1287
2020,08,토마토,568385
2020,08,토마토(방울),219245
2020,08,파세리,8512
2020,08,파인애플,28120
2020,08,파채,7465
2020,08,파프리카,64679
2020,08,포도,232934
2020,08,풋고추,83558
2020,08,풋옥수수,10523
2020,08,피망,1262
2020,08,호박,266285
2020,08,홍갓,13056
2020,08,홍고추,4948
2020,09,가지,252551
2020,09,감,38009
2020,09,감귤,249058
2020,09,감자,335174
2020,09,갓,3319
2020,09,건가지,1235
2020,09,건고추,7518
2020,09,건취나물,1124
2020,09,고구마,438897
2020,09,고구마순,734
2020,09,고사리,9377
2020,09,고추,929697
2020,09,곶감,9455
2020,09,근대,26557
2020,09,기타잡곡류,707
2020,09,깐마늘,71771
2020,09,깐양파,32977
2020,09,깻잎,15966
2020,09,냉이,2563
2020,09,늙은호박,19075
2020,09,다발무,18268
2020,09,단감,84156
2020,09,단호박,11178
2020,09,달래,3983
2020,09,당근,240872
2020,09,대추,25202
2020,09,대파,481451
2020,09,더덕,9219
2020,09,도라지,7510
2020,09,돈나물,842
2020,09,돌나물,1982
2020,09,두릅,1745
2020,09,따리,75
2020,09,딸기,68869
2020,09,레몬,2934
2020,09,마,6585
2020,09,마늘,208408
2020,09,마늘 쫑,474
2020,09,메론,242835
2020,09,모둠쌈,21370
2020,09,무,527175
2020,09,무화과,3503
2020,09,물미역(청과),1439
2020,09,미나리,9986
2020,09,바나나,37430
2020,09,바나나 국산,2157
2020,09,밤,105267
2020,09,방울,9332
2020,09,배,350478
2020,09,배추,383420
2020,09,배추얼갈이,34789
2020,09,버섯,587841
2020,09,복수박,31252
2020,09,복숭아,95711
2020,09,부추,37990
2020,09,브로코리,82246
2020,09,브로콜리,1812
2020,09,블루베리,1072
2020,09,비트,88634
2020,09,빨간양배추,9571
2020,09,사과,986883
2020,09,산딸기,2746
2020,09,살구,612
2020,09,상추,81317
2020,09,새싹채소,389
2020,09,생강,8285
2020,09,석류,2934
2020,09,세러리,670
2020,09,수박,981177
2020,09,수입과일,267340
2020,09,숙주,22946
2020,09,시금치,145209
2020,09,신선초,670
2020,09,쌈채,3734
2020,09,쌈추,3158
2020,09,쑥갓,430
2020,09,아욱,151
2020,09,애플수박,1376
2020,09,애호박,141251
2020,09,양배추,405675
2020,09,양상추,103331
2020,09,양파,1010599
2020,09,얼갈이,2904
2020,09,연근,3510
2020,09,열무,23180
2020,09,열무 얼갈이,29999
2020,09,오디 국산,5961
2020,09,오렌지,2934
2020,09,오이,241961
2020,09,옥수수,1824
2020,09,완두콩,15967
2020,09,우엉,4231
2020,09,인삼,745
2020,09,자두,42971
2020,09,자몽,2934
2020,09,쪽파,26420
2020,09,찰옥수수,59479
2020,09,참나물,7527
2020,09,참다래 국산,11732
2020,09,참외,17893
2020,09,청경채,2957
2020,09,청양고추,13367
2020,09,체리,1541
2020,09,취나물,13621
2020,09,츄키니,3807
2020,09,케일,670
2020,09,콜라비,328
2020,09,콩나물,138165
2020,09,토마토,455647
2020,09,토마토(방울),193940
2020,09,파세리,9053
2020,09,파인애플,41589
2020,09,파채,5593
2020,09,파프리카,44256
2020,09,포도,214280
2020,09,풋고추,61225
2020,09,풋옥수수,16218
2020,09,피망,1033
2020,09,호박,257715
2020,09,홍갓,15228
2020,09,홍고추,4468
2020,10,가지,210869
2020,10,감,87183
2020,10,감귤,188886
2020,10,감자,280943
2020,10,갓,2044
2020,10,건가지,369
2020,10,건고추,322
2020,10,건취나물,587
2020,10,고구마,323666
2020,10,고구마순,431
2020,10,고사리,3011
2020,10,고추,287321
2020,10,곶감,8349
2020,10,근대,28853
2020,10,기장,2398
2020,10,기타잡곡류,279
2020,10,깐마늘,60141
2020,10,깐양파,29676
2020,10,깻잎,24985
2020,10,냉이,2107
2020,10,늙은호박,8717
2020,10,다발무,132575
2020,10,단감,306994
2020,10,단호박,10181
2020,10,달래,2646
2020,10,당근,244834
2020,10,대추,19908
2020,10,대파,229037
2020,10,더덕,2417
2020,10,도라지,4630
2020,10,돈나물,734
2020,10,돌나물,1625
2020,10,두릅,4807
2020,10,딸기,71301
2020,10,레몬,3443
2020,10,마,2646
2020,10,마늘,181153
2020,10,마늘 쫑,630
2020,10,매실,807
2020,10,메론,207168
2020,10,멜론,7200
2020,10,모둠쌈,18964
2020,10,무,441106
2020,10,무화과,3249
2020,10,물미역(청과),1449
2020,10,미나리,8405
2020,10,바나나,50047
2020,10,바나나 국산,917
2020,10,밤,86276
2020,10,방울,10250
2020,10,방울양배추,518
