NTN_CODE,YR_INFO_CN,BASE_MM,BSIS_IVTY_QY,PDTN_QY,IMPT_QY,EPOT_QY,CSP_QY,TMED_IVTY_QY,DMTC_CSP_QY,SPLY_QY,PDLT_CODE,PDLT_NM,MDFCN_YMD,ETL_LDG_DT
248,2011/12,05,98.73,465.81,35.76,39.12,459.48,105.06,0,0,0101,½Ò,20130515,20210419165432
221,2011/12,05,1.51,5.87,0.62,3.22,3.47,1.3,0,0,0101,½Ò,20130515,20210419165432
100,2011/12,05,23.5,105.31,0,10.38,93.33,25.1,0,0,0101,½Ò,20130515,20210419165432
170,2011/12,05,0.5,6.2,0.05,3.46,2.55,0.75,0,0,0101,½Ò,20130515,20210419165432
206,2011/12,05,5.62,20.46,0.6,6.95,10.4,9.33,0,0,0101,½Ò,20130515,20210419165432
229,2011/12,05,1.94,27.15,0.1,7.72,19.65,1.83,0,0,0101,½Ò,20130515,20210419165432
097,2011/12,05,6.18,36.5,1.96,0,39.55,5.09,0,0,0101,½Ò,20130515,20210419165432
169,2011/12,05,2.46,10.7,1.2,0,12.85,1.51,0,0,0101,½Ò,20130515,20210419165432
046,2011/12,05,42.57,140.7,1.79,0.44,139.6,45.02,0,0,0101,½Ò,20130515,20210419165432
062,2011/12,05,0.12,4.25,0.34,0.6,3.62,0.49,0,0,0101,½Ò,20130515,20210419165432
248,2012/13,04,105.5,467.6,34.58,37.79,469.3,103.79,0,0,0101,½Ò,20130515,20210419165432
248,2012/13,05,105.06,470.22,35.72,38.64,469.85,105.43,0,0,0101,½Ò,20130515,20210419165432
221,2012/13,04,1.3,6.33,0.68,3.43,3.81,1.08,0,0,0101,½Ò,20130515,20210419165432
221,2012/13,05,1.3,6.33,0.68,3.43,3.81,1.08,0,0,0101,½Ò,20130515,20210419165432
100,2012/13,04,25.1,101,0,8.1,95,23,0,0,0101,½Ò,20130515,20210419165432
100,2012/13,05,25.1,104,0,9,96.1,24,0,0,0101,½Ò,20130515,20210419165432
170,2012/13,04,0.75,6,0.04,3.3,2.6,0.89,0,0,0101,½Ò,20130515,20210419165432
170,2012/13,05,0.75,6,0.04,3.2,2.69,0.9,0,0,0101,½Ò,20130515,20210419165432
206,2012/13,04,9.33,20.2,0.6,8,10.5,11.63,0,0,0101,½Ò,20130515,20210419165432
206,2012/13,05,9.33,20.2,0.6,8,10.5,11.63,0,0,0101,½Ò,20130515,20210419165432
229,2012/13,04,1.83,27.65,0.1,7.4,20.1,2.08,0,0,0101,½Ò,20130515,20210419165432
229,2012/13,05,1.83,27.65,0.1,7.4,20.1,2.08,0,0,0101,½Ò,20130515,20210419165432
097,2012/13,04,5.09,37.5,0.8,0,40,3.39,0,0,0101,½Ò,20130515,20210419165432
097,2012/13,05,5.09,37.5,1.5,0,40,4.09,0,0,0101,½Ò,20130515,20210419165432
169,2012/13,04,1.81,11.35,1.5,0,12.93,1.73,0,0,0101,½Ò,20130515,20210419165432
169,2012/13,05,1.51,11.35,1.5,0,12.93,1.43,0,0,0101,½Ò,20130515,20210419165432
046,2012/13,04,45.02,143,2.4,0.3,144,46.12,0,0,0101,½Ò,20130515,20210419165432
046,2012/13,05,45.02,143,2.9,0.3,144,46.62,0,0,0101,½Ò,20130515,20210419165432
062,2012/13,04,0.49,4.7,0.05,0.85,3.9,0.49,0,0,0101,½Ò,20130515,20210419165432
062,2012/13,05,0.49,4.68,0.05,0.85,3.9,0.46,0,0,0101,½Ò,20130515,20210419165432
248,2013/14,05,105.43,479.26,36.31,38.91,476.84,107.84,0,0,0101,½Ò,20130515,20210419165432
221,2013/14,05,1.08,6.04,0.71,3.12,3.66,1.05,0,0,0101,½Ò,20130515,20210419165432
206,2012/13,03,9.33,20.5,0.4,8,10.6,11.63,0,0,0101,½Ò,20130411,20210419165432
206,2012/13,04,9.33,20.2,0.6,8,10.5,11.63,0,0,0101,½Ò,20130411,20210419165432
229,2012/13,03,1.75,27.71,0.2,7.4,20.1,2.16,0,0,0101,½Ò,20130411,20210419165432
229,2012/13,04,1.83,27.65,0.1,7.4,20.1,2.08,0,0,0101,½Ò,20130411,20210419165432
